Código modular;Código de institución;Nombre de IE;Nivel / Modalidad;Tipo de Gestión;Dependencia;Director;Estado;Dirección de IE;Provincia;Distrito;Tipo de programa;Turno;Alumnos (Censo educativo);Docentes (Censo educativo);Secciones (Censo educativo)
1223346;22272543;EL BUEN PASTOR;Secundaria;Privada;Particular;CORDERO CHAVEZ JULIO CESAR;Activo;JIRON PASCO 3015;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;36;6;5
0765008;24923959;SEBASTIAN SALAZAR BONDY;Secundaria;Privada;Particular;VENTOSILLA PORTILLA LOLA;Activo;JIRON LAS TORONJAS 252;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;64;11;5
0884700;21335770;EL NUEVO MARIANNE FROSTIG;Secundaria;Privada;Particular;VALENZUELA VITOR REBECA RUTH;Activo;JIRON JULIO DELGADO 425;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;162;11;10
1187277;25340973;THALES DE MILETO LAS BEGONIAS;Secundaria;Privada;Particular;PAASACA PAMPA ELIZABETH JESSICA;Activo;AVENIDA BERTELLO S/N MZ G LOTE 18-23, 31-33;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;103;14;5
0884718;;ESTRELLA DE BELEN;Secundaria;Privada;Particular;GRANDA PAREDES MARIA RUTH TERESA;Activo;JIRON ANCASH 3315;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;130;6;5
0651760;24977668;26 DE JUNIO;Secundaria;Privada;Particular;MALPARTIDA OLIVERA PATRICIA SILVIA;Activo;JIRON ISIDRO ALCIBAR 115;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;44;7;5
0885319;21357472;MIS TALENTOS DE SAN MARTIN;Secundaria;Privada;Particular;ROMANI SUAREZ LUPE;Activo;CALLE GUILLERMO ZUÑIGA 965;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;4;3;1
0885475;25382390;MAX PLANCK;Secundaria;Privada;Particular;JULCA RUIZ AMPARO MARIBEL;Activo;MZ E LOTE 15;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;3;6;3
0884809;21417114;JUAN PABLO PEREGRINO;Secundaria;Privada;Particular;LOLI LOLI MERCEDES EUSEBIA;Activo;AVENIDA LOS PROCERES MZ B LOTE 5,6,7,18;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;200;9;7
1186592;;INMACULADA COLLEGE S.A.C.;Secundaria;Privada;Particular;VIDAL REYES LEDHY LEOLINDA;Activo;JIRON SANTA LEONOR 6446;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;87;8;5
